game_id,seed,winner_model,winner_color,total_turns,model,color,seat_position,victory_points,settlements,cities,roads_built,longest_road_length,has_longest_road,has_largest_army,knights_played,llm_calls,cost_usd,input_tokens,output_tokens,cached_tokens,avg_latency_ms,trade_proposals_made,trade_proposals_accepted
0,42,gemini-3-flash,WHITE,122,gemini-3-flash,WHITE,0,11,0,2,7,7,True,True,4,110,0.1718,227180,19388,0,2147.3,2,0
0,42,gemini-3-flash,WHITE,122,gemini-flash,ORANGE,1,3,3,0,7,5,False,False,2,52,0.0508,105732,7613,0,1877.9,0,0
0,42,gemini-3-flash,WHITE,122,claude-sonnet,RED,2,6,0,2,6,3,False,False,2,40,0.1148,36053,7909,41496,6061.0,5,1
0,42,gemini-3-flash,WHITE,122,claude-haiku,BLUE,3,4,2,1,7,4,False,False,0,41,0.1065,83228,9979,0,4064.7,4,1
1,43,gemini-3-flash,ORANGE,77,claude-sonnet,RED,0,2,2,0,5,5,False,False,0,22,0.0776,20736,5051,22344,5489.4,4,0
1,43,gemini-3-flash,ORANGE,77,claude-haiku,BLUE,1,3,2,0,6,5,False,False,0,19,0.0478,37735,4408,0,3969.0,0,0
1,43,gemini-3-flash,ORANGE,77,gemini-flash,WHITE,2,3,1,1,4,3,False,False,0,27,0.0233,53331,3418,4024,1811.3,1,1
1,43,gemini-3-flash,ORANGE,77,gemini-3-flash,ORANGE,3,10,2,3,9,6,True,False,2,71,0.1075,144116,11827,0,2040.8,3,0
2,44,gemini-3-flash,WHITE,202,gemini-3-flash,WHITE,0,10,4,1,13,10,True,False,0,103,0.1668,221420,18701,0,2212.4,9,1
2,44,gemini-3-flash,WHITE,202,claude-haiku,ORANGE,1,3,2,0,6,5,False,False,1,42,0.1077,87246,9483,0,4132.4,1,0
2,44,gemini-3-flash,WHITE,202,claude-sonnet,RED,2,4,2,1,6,4,False,False,2,66,0.2407,67078,15078,69160,5612.2,11,2
2,44,gemini-3-flash,WHITE,202,gemini-flash,BLUE,3,6,3,0,4,3,False,True,6,59,0.0583,127829,8604,5037,1986.6,0,0
3,45,gemini-3-flash,ORANGE,98,gemini-3-flash,ORANGE,0,10,2,2,8,5,True,True,5,86,0.1269,173925,13320,0,2112.4,6,0
3,45,gemini-3-flash,ORANGE,98,gemini-flash,BLUE,1,5,0,2,2,1,False,False,0,34,0.0302,67733,4427,4023,1874.0,1,0
3,45,gemini-3-flash,ORANGE,98,claude-haiku,WHITE,2,4,0,2,5,4,False,False,1,47,0.1175,93605,10649,0,3373.8,4,0
3,45,gemini-3-flash,ORANGE,98,claude-sonnet,RED,3,4,0,2,3,2,False,False,0,25,0.0666,21769,4684,25536,5984.5,2,0
